treatment,classifier,accuracy_mean,accuracy_std,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment,n_significant_features_fdr,n_folds
ETANOL,RandomForest,0.7216092587489666,0.03237929865208291,0.7796271637816246,0.8547445255474453,0.8151138665018856,0.5049751243781094,0.3801498127340824,0.43136687437278265,0,10
CBD 0.3uM,RandomForest,0.5817569667460893,0.02418995569565068,0.8218053927315357,0.5116788321167883,0.6300335950549737,0.3972972972972973,0.7436762225969646,0.5177649600902777,0,10
Total_Extract_CBD,RandomForest,0.592552309418134,0.030711945446696177,0.7829698857736241,0.5503649635036496,0.6464314527380989,0.4199623352165725,0.6809160305343511,0.5183366881692723,0,10
