treatment,accuracy_mean,accuracy_std,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment,n_significant_features_fdr,n_folds
ETANOL,0.5929254522410415,0.04549222845316357,0.634554500226142,0.8421368547418968,0.718464131295787,0.3738095238095238,0.16269430051813472,0.2132034582307137,0,10
CBD 0.3uM,0.5647267422959124,0.016083315597324236,0.3952267303102625,0.4969987995198079,0.4396761653040634,0.6942721634439986,0.6003154574132492,0.6437116900246618,0,10
CBD 3uM,0.953064039408867,0.002249184339002877,0.9536082474226805,0.9993997599039616,0.9759666776624731,0.0,0.0,0.0,0,10
CBD 30uM,0.7125591376871677,0.03975316604871174,0.8225134008338296,0.8289315726290516,0.8248145594097613,0.1833810888252149,0.17679558011049723,0.17757503634239877,1,10
CBDV 0.3uM,0.5746606334841629,0.06510501674082685,0.76410998552822,0.6338535414165666,0.6879852926901426,0.25518925518925517,0.39065420560747666,0.29612987843658023,0,10
CBDV 3uM,0.5951608040201005,0.03572462182911403,0.8473344103392568,0.6296518607442977,0.7217794882870411,0.1806108897742364,0.41846153846153844,0.25254843004994115,0,10
CBDV 30uM,0.8471718636693255,0.01117660716140613,0.8583420776495279,0.9819927971188476,0.9159900026619218,0.47368421052631576,0.09090909090909091,0.15159059227944677,0,10
,0.8265820895522387,0.006834191293733348,0.8356234096692112,0.985594237695078,0.9044309167646576,0.3333333333333333,0.03582089552238806,0.06388372177845862,0,10
