state,speed_mean,speed_std,speed_min,speed_25q,speed_median,speed_75q,speed_max,turning_mean,turning_std,turning_max,path_length,displacement,confinement_ratio
0,0.21893591082728525,0.7481463421666091,0.0,0.0,0.0,0.0,2.8687373848537483,0.2044180368912313,0.5323098965945657,1.5208694168556494,2.999925709969026,2.927778189941612,0.9794579351493578
1,2.4654350178383577,3.8023654879852833,0.0,0.0,1.1962849869397922,3.2839377354136117,18.446306800379237,1.0076176995916517,1.4129808268294017,3.0026269576196434,137.8467436115903,37.62367378177023,0.32377986400389475
2,1.0093067900405894,1.3974044717290433,0.0,0.0,0.7358855168143903,1.4045145250400592,8.61487687055564,1.4569678583589623,1.7642344699707977,3.141592653589793,244.88555495553135,2.729585244702065,0.012752749072763508
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.148257158992196,3.059343071516445,0.0,1.0283526639635072,2.4882976730556847,4.888463112540542,16.356483588385263,1.22085121534523,1.5589474488282622,3.1099842531539528,435.66912414701414,81.39611121317208,0.24350135450707797
5,5.684450480540433,1.9251421246814853,2.8988103951543103,4.477698911644666,5.485769804413042,6.529934481116842,9.16671923087379,0.8705992392441617,1.0468616289544976,1.565728153402203,61.57534705964304,50.046411472715505,0.8016500775957601
6,1.3524786225647252,3.605405698380666,0.0,0.0,0.0,0.7755364553786663,16.094918642180378,0.6126020061461116,1.10014296833836,2.7906503814716657,41.97645060613291,14.087983694489507,0.4097101296729385
7,1.9937450265459906,2.794582743065473,0.0,0.6580882352941176,1.1632539507473643,2.3801408697421005,16.6204321961489,1.603478672949879,1.8804510331450117,3.141592653589793,432.1528075491716,13.433019894798383,0.03617106188663224
8,3.959973840471245,2.62947474690467,0.16348939119900352,1.9393145316634375,4.09874971286605,5.665890351910249,11.045439859819409,0.8077065064532144,0.9198540978871613,2.5650984910447794,304.31341933690334,164.4044741816058,0.6853213847770324
9,0.24378404623021713,0.5051988862342632,0.0,0.0,0.0,0.2410430234916078,1.83240015968964,0.5383875511361624,1.0464930240699013,2.8274917957531467,20.45607876184584,0.8772891188180834,0.12392609056490829
