treatment,accuracy_mean,accuracy_std,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment,window_length,n_folds
ETANOL,0.6479365079365078,0.07429877106798029,0.7386363636363636,0.7768924302788844,0.7561419920770642,0.38461538461538464,0.33653846153846156,0.35958434410446793,50,10
CBD 0.3uM,0.665587044534413,0.0856685434183886,0.7563025210084033,0.7171314741035857,0.7353279989858321,0.5202702702702703,0.5703703703703704,0.5426940264654393,50,10
Total_Extract_CBD,0.6316067653276957,0.09380527288043364,0.6607142857142857,0.7370517928286853,0.6951023659830249,0.5796178343949044,0.489247311827957,0.5312067803918398,50,10
