state,speed_mean,speed_std,speed_min,speed_25q,speed_median,speed_75q,speed_max,turning_mean,turning_std,turning_max,path_length,displacement,confinement_ratio
0,0.37046860981614466,1.2703552131581402,0.0,0.0,0.0,0.0,4.784406457934859,0.22639516779224347,0.5794310811806158,1.5976882540076527,4.784406457934859,4.784406457934859,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.401961896585522,2.2141200809640327,0.0,0.0,0.6437704491411936,1.902031561104562,12.848625232695595,1.2675409038453558,1.6488677911011753,3.139519827908804,202.18658377726058,7.888963815834836,0.034204340496531316
3,3.4907436837859116,3.17266501528703,0.0,1.1283942775539293,3.124808997952336,4.956685062824445,16.124597229644586,1.0752217092209464,1.398333728256385,3.0158532451439144,337.1593183384601,128.50063908701506,0.4595834842412732
4,1.6082587717036658,3.857042891985322,0.0,0.0,0.0,1.1018164313105636,16.060438972193563,0.5960869016666565,1.0612572972016572,2.6637893964197654,40.96309792399942,19.188262111309307,0.5177300094783328
5,6.522960546429683,2.3201735478808256,2.8851543935783286,5.607031843803373,6.639528337220776,7.6191640149903135,9.737139556377407,1.5066334017536291,0.9978035572376174,1.9157156560634583,49.330218924348785,28.154318302046043,0.6456546707201904
6,2.6682015402048127,4.5135623399169225,0.0,0.0,0.9262467445554773,3.318788433890487,21.832260145881428,0.9844966898427504,1.4221448582044964,3.059583975893852,137.29504204361334,46.43356163744449,0.36103775608046934
7,0.3629709448453973,0.8342673013370335,0.0,0.0,0.0,0.15969030601748668,2.993145178727599,0.48274847779691127,0.9737112427366659,2.6593644172054587,8.45313353957292,2.2138787740336374,0.3090398384111691
8,3.5054780003700614,3.632066884704539,0.3467142466147619,0.9202511768990699,1.9651525235317187,5.345644258150772,11.540925443439098,0.9571442903849938,0.9271811462542405,1.9998232103229998,62.928925829369724,46.88420205174085,0.7966552138504525
9,2.7495573941597042,3.9795976190594047,0.0,0.5242442138536103,1.3161700660459636,3.4695656562958166,20.701010045531326,1.4439917661902593,1.7841706053191848,3.1345752101109237,490.03847613235587,27.833724360884926,0.05989588098843366
