treatment,accuracy,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment
ETANOL,0.6807228915662651,0.7908256880733945,0.7405498281786942,0.7648624667258208,0.47017543859649125,0.5403225806451613,0.5028142589118199
CBD 0.3uM,0.7521008403361344,0.9023904382470119,0.7796901893287436,0.8365650969529086,0.39622641509433965,0.631578947368421,0.48695652173913045
CBD 3uM,0.7594278283485045,0.9075975359342916,0.7594501718213058,0.8269410664172123,0.5035460992907801,0.7593582887700535,0.605543710021322
CBD 30uM,0.7581521739130435,0.9137577002053389,0.76592082616179,0.8333333333333334,0.4538152610441767,0.7290322580645161,0.5594059405940595
CBDV 0.3uM,0.6977660972404731,0.8333333333333334,0.7560137457044673,0.7927927927927928,0.3905579399141631,0.5083798882681564,0.441747572815534
CBDV 3uM,0.6935286935286935,0.817658349328215,0.7319587628865979,0.772438803263826,0.47651006711409394,0.5991561181434599,0.5308411214953271
CBDV 30uM,0.7383458646616541,0.8832391713747646,0.8072289156626506,0.8435251798561151,0.16417910447761194,0.2619047619047619,0.2018348623853211
