state,speed_mean,speed_std,speed_min,speed_25q,speed_median,speed_75q,speed_max,turning_mean,turning_std,turning_max,path_length,displacement,confinement_ratio
0,0.18008604292963706,0.605343797436387,0.0,0.0,0.0,0.0,2.255465108435921,0.23124003831902967,0.588822494706368,1.637678459090131,2.255465108435921,2.255465108435921,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.721497882647988,3.4228928924832935,0.0,0.0,0.6151710914149499,1.666423149522784,18.508450284358407,1.209216756097498,1.6136299117849144,3.1270353405915987,249.94479522457053,10.346708454246482,0.04365384535425364
3,1.2572139442789665,3.2876250709174957,0.0,0.0,0.0,0.7384855216448554,14.630605875382951,0.6289115008403627,1.102039378663994,2.7425448011605114,40.436732550819954,14.524203510900684,0.4446327037520959
4,6.049509756796392,0.9504902432036078,5.0990195135927845,5.574264635194588,6.049509756796392,6.524754878398197,7.0,0.19739555984988044,0.0,0.19739555984988044,12.099019513592784,12.041594578792296,0.9952537530222202
5,2.4756112987193153,2.4464052135245824,0.0,0.9027083114137036,1.9241128848470184,3.5258442563952612,14.086409500661407,1.3953047556777936,1.6847277725878396,3.1069325858811276,383.4461895731535,67.92926367338859,0.2203602639276682
6,0.5919402733259108,0.6873658247136568,0.0,0.0,0.40003589283427554,0.9847857607736761,3.0028635493993003,1.2749535365925504,1.6210844431171192,3.1415926535897936,161.03247952811682,0.9219574275313486,0.006098052964060108
7,2.241808199143332,3.1756183796783803,0.0,0.0,1.1775948228806796,3.313950572094978,14.759127439814112,0.9829455080838423,1.3773864785454646,2.9513265831407085,105.53695650441874,40.55272863680255,0.4195635127129927
8,4.440559004492281,5.688964613536149,0.3658085959685459,1.05971413727227,2.340254844426063,5.7116403072308035,18.325273677502363,1.1215842067997335,1.2279175763865393,2.346749588854821,389.5556172715813,29.026735965863885,0.6597713849783716
9,0.24494550142366892,0.5761067155988377,0.0,0.0,0.0,0.12302880557163465,2.126016061634444,0.4706801861437661,0.9643961752632795,2.719046188159547,7.8866793369110555,1.3619217188205475,0.2401093033799273
