treatment,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
CBD 30uM,10.220994475138122,13.259668508287293,3.591160220994475,15.469613259668508,8.56353591160221,31.767955801104975,14.3646408839779,0.0,2.7624309392265194
ETANOL,11.191709844559586,10.984455958549223,10.05181347150259,15.647668393782382,2.383419689119171,35.02590673575129,12.642487046632125,0.0,2.072538860103627
CBD 0.3uM,8.485804416403786,12.807570977917981,12.113564668769715,14.794952681388013,3.2807570977917986,31.13564668769716,13.91167192429022,0.06309148264984228,3.406940063091483
CBD,8.059701492537313,10.149253731343283,7.164179104477612,14.925373134328357,5.3731343283582085,30.447761194029848,22.388059701492537,0.0,1.4925373134328357
Control,9.78391356542617,12.48499399759904,6.8427370948379345,13.085234093637455,4.081632653061225,35.89435774309724,15.066026410564227,0.18007202881152462,2.581032412965186
CBD 3uM,11.11111111111111,16.049382716049383,12.345679012345679,13.580246913580247,2.4691358024691357,30.864197530864196,11.11111111111111,0.0,2.4691358024691357
CBDV 30uM,7.4074074074074066,16.835016835016837,6.397306397306397,11.11111111111111,6.7340067340067336,33.33333333333333,11.11111111111111,1.0101010101010102,6.0606060606060606
CBDV 3uM,8.615384615384615,12.0,10.76923076923077,13.538461538461538,2.1538461538461537,40.0,8.615384615384615,0.3076923076923077,4.0
CBDV 0.3uM,11.214953271028037,7.289719626168225,5.794392523364486,15.14018691588785,3.7383177570093453,36.822429906542055,14.953271028037381,0.0,5.046728971962617
