treatment,alpha_pooled,alpha_ci_lower,alpha_ci_upper,xmin,loglikelihood_ratio,p_value,n_total_steps,n_worms_tested,alpha_mean_worms,alpha_median_worms,alpha_std_worms,alpha_min_worms,alpha_max_worms,n_levy_statistical,percent_levy_statistical,n_levy_strict,percent_levy_strict
Control,4.245082540423878,2.916561604637253,4.574083348696187,26.832815729997478,0.009623057179275918,0.739830417806136,47214,302,,,,,,3,0.9933774834437087,95,31.456953642384107
ETANOL,2.5143523546882864,2.4400075461409765,7.05428882494941,5.0990195135927845,-13.03898608694043,0.0004502022796400023,17297,104,24.945354283487823,10.795140014456646,33.73521423620603,1.7508063766613866,173.91317970925542,2,1.9230769230769231,8,7.6923076923076925
CBD 0.3uM,3.223179126402996,3.0720574065055484,3.4067841840110744,2.23606797749979,-0.43783417535899183,0.46172655640677984,8286,54,,,,,,3,5.555555555555555,3,5.555555555555555
CBD 3uM,3.176404938646024,2.4694781719510637,3.2373842118326084,1.4142135623730951,1.310158293015864,1.998316058710136e-17,14021,86,,,,,,3,3.488372093023256,1,1.1627906976744187
CBD 30uM,3.0438156773611675,2.964263782456308,3.1302122323606567,1.4142135623730951,0.8745688892362868,3.589054980909157e-06,14521,91,,,,,,2,2.197802197802198,4,4.395604395604396
CBDV 0.3uM,3.0139012812856794,2.917580053428782,3.3289080342607122,7.810249675906654,-3.5291855976318764,0.0641058645476935,17190,108,,,,,,3,2.7777777777777777,12,11.11111111111111
CBDV 3uM,2.3116602171931975,2.2578258585258095,2.352489416969558,2.0,-0.26245825245059073,0.6220613887331595,17494,106,,,,,,4,3.7735849056603774,23,21.69811320754717
CBDV 30uM,3.5231330135840397,3.159303377883726,4.332170131931046,12.0,-1.932693547199615,0.261379049925358,8690,56,4.8100909109241865,3.7147959824266543,5.584666524619803,1.9101755581149324,43.01723171558573,0,0.0,14,25.0
