treatment,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9
Total_Extract_CBD,11.299435028248588,40.839386602098465,6.053268765133172,2.9862792574656982,5.326876513317192,12.832929782082324,0.08071025020177562,8.555286521388217,2.340597255851493,9.685230024213075
Control,8.492063492063492,35.476190476190474,5.873015873015873,4.365079365079365,7.301587301587302,13.015873015873018,0.0,12.857142857142856,2.301587301587302,10.317460317460316
CBD 0.3uM,10.839445802770985,37.40831295843521,7.416462917685411,0.7334963325183375,6.519967400162999,15.24042379788101,0.0,7.823960880195599,2.2004889975550124,11.817440912795437
ETANOL,10.722100656455142,47.118891320204234,6.3457330415754925,0.7293946024799417,4.230488694383661,12.691466083150985,0.0,6.0539752005835155,2.62582056892779,9.482129832239242
