state,speed_mean,speed_std,speed_min,speed_25q,speed_median,speed_75q,speed_max,turning_mean,turning_std,turning_max,path_length,displacement,confinement_ratio
0,0.15458332834526942,0.5618840517618987,0.0,0.0,0.0,0.0,2.238478022032535,0.19918601113616197,0.5221861963834685,1.476942897797115,2.238478022032535,2.238478022032535,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8107745932686967,4.269941858913068,0.0,0.0,0.39853151423056465,1.2937026087402124,22.408991337672177,1.0456718423709046,1.476948625305673,3.0849197278577356,268.12410348555375,8.172865285808326,0.03099739446615347
3,2.0516567342642738,1.99994841645992,0.0,0.8554426213912469,1.6288041813821912,2.8386914614910865,11.315881322435871,1.4741008566812601,1.7190171084305583,3.025355511700522,294.6271385050841,34.844600674226236,0.21458489555223614
4,1.0216774402653792,1.0676592038941177,0.0,0.0,1.0,1.5461788334863824,5.159472958355704,1.610858836664219,1.8612605266861644,3.141592653589793,263.56833046326653,2.481605296780105,0.011673626496786754
5,0.18626736458415752,0.48906208282051045,0.0,0.0,0.0,0.0,1.8324299931830463,0.4033426479276462,0.9053239327008716,2.732249795081442,6.485262623979871,0.9555205468671365,0.18204036637891355
6,5.703774710833281,4.615945628802264,1.0,1.4142135623730951,6.082762530298219,8.602325267042627,17.08800749063506,2.2594738177154077,2.3570551347743836,3.141592653589793,142.59436777083204,0.0,0.0
7,1.3884757007587147,3.6654288090888887,0.0,0.0,0.19685959192389405,0.9064265219969979,17.806339030021103,0.7111173628113042,1.1530673739175306,2.7102242294320127,53.759567102244965,19.82324516690432,0.49000993787563907
8,2.9944228844728342,3.4526596743636007,0.0,0.6621913659010397,1.5855570553362575,4.990494391337958,13.413189343000493,1.8177042258822462,2.030899236811048,3.1414930865662045,734.3624864444896,6.673911804574979,0.009712856512721267
9,0.5909998898093098,1.1058955485475936,0.0,0.0,0.0,0.7145042373678312,4.496325598067932,0.8656708334717168,1.3536388470395173,3.1314954860420783,72.01627591023791,1.745532903674606,0.04428816922564582
