treatment,alpha_pooled,alpha_ci_lower,alpha_ci_upper,xmin,loglikelihood_ratio,p_value,n_total_steps,n_worms_tested,alpha_mean_worms,alpha_median_worms,alpha_std_worms,alpha_min_worms,alpha_max_worms,n_levy_statistical,percent_levy_statistical,n_levy_strict,percent_levy_strict
Control,2.7564878158537294,2.6602997294973774,2.797974280523704,5.0,-4.93955105630492,0.021884558715913056,34533,218,,,,,,4,1.834862385321101,32,14.678899082568808
ETANOL,4.185436192630638,2.551161327057624,4.441279739818151,15.620499351813308,-9.032100160531842,0.0033629346360306866,32433,196,,,,,,6,3.061224489795918,17,8.673469387755102
CBD 0.3uM,2.940957037176654,2.8450394973067974,3.0096965401791627,5.656854249492381,-2.0438891785051485,0.11494244779020213,35078,215,,,,,,6,2.7906976744186047,23,10.69767441860465
Total_Extract_CBD,2.9406833504368213,2.87502923028041,3.354764371948134,5.830951894845301,-14.968743281121,0.0001395073121056339,32536,201,,,,,,5,2.4875621890547266,33,16.417910447761194
