treatment,alpha,xmin,loglikelihood_ratio,p_value
Control,2.414023415555488,2.8284271247461903,-13.351924341908841,0.0011903661592520681
ETANOL,2.477611517566517,1.4142135623730951,0.7921921685026179,6.965142448909763e-79
CBD 0.3uM,2.85050994259704,1.4142135623730951,0.6334447207377312,5.269353059850969e-39
Total_Extract_CBD,3.624635872179064,7.211102550927978,-1.0229958389574876,0.1821855992240743
