treatment,accuracy_mean,accuracy_std,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment,window_length,n_folds
ETANOL,0.5928043764724673,0.020945163608050536,0.6120194432169687,0.7707289927657206,0.681760980139504,0.5447513812154696,0.3595915390226112,0.43196394612898226,10,10
CBD 0.3uM,0.4632107843137255,0.015210775662129533,0.762962962962963,0.34390651085141904,0.47308910844565866,0.32396788990825687,0.7463672391017173,0.4512847709998463,10,10
CBD 3uM,0.46202531645569617,0.032889225322834205,0.8104886769964244,0.3784084585420145,0.5144167877543244,0.2713633398564905,0.7234782608695652,0.394884347428274,10,10
CBD 30uM,0.697523532501111,0.030325836071701813,0.8145658263305322,0.8091263216471898,0.8115255280223096,0.22573363431151242,0.23201856148491878,0.2293601941723935,10,10
CBDV 0.3uM,0.6090887238929545,0.10965805913773162,0.92833607907743,0.6271563717306622,0.7405730471569651,0.07330567081604426,0.37857142857142856,0.1205538835807342,10,10
CBDV 3uM,0.7101343283582089,0.049568464245997576,0.9113667117726658,0.7495826377295493,0.8211845218496286,0.1444866920152091,0.3671497584541063,0.2056968616204234,10,10
CBDV 30uM,0.7422182419399285,0.08397130537916911,0.9466848940533151,0.7707289927657206,0.8467171210371307,0.0593607305936073,0.25,0.10408735849191768,10,10
Total_Extract_CBD,0.6244396784913826,0.09418912615253451,0.8012779552715655,0.6978297161936561,0.7363031750993676,0.23413258110014104,0.3480083857442348,0.27910565421328365,10,10
