treatment,accuracy,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment
ETANOL,0.5777502067824648,0.6300738007380073,0.5241749808135073,0.5722664432341852,0.5352323838080959,0.6403587443946188,0.5830951408738261
CBD 0.3uM,0.5562403697996918,0.6916376306620209,0.6088957055214724,0.6476345840130505,0.3617021276595745,0.4494556765163297,0.40083217753120665
CBD 3uM,0.7651288196524865,0.7878787878787878,0.9570552147239264,0.8642659279778393,0.3411764705882353,0.07945205479452055,0.1288888888888889
CBD 30uM,0.7916152897657214,0.8092189500640204,0.9693251533742331,0.8820655966503839,0.3333333333333333,0.06289308176100629,0.10582010582010581
CBDV 0.3uM,0.6666666666666666,0.9348054679284963,0.6822716807367614,0.7888198757763976,0.1320754716981132,0.504,0.20930232558139536
CBDV 3uM,0.6426116838487973,0.9090909090909091,0.6676899462778204,0.7699115044247787,0.13052208835341367,0.4276315789473684,0.2
CBDV 30uM,0.6695340501792114,0.946031746031746,0.6855828220858896,0.7950200088928413,0.08888888888888889,0.43956043956043955,0.1478743068391867
Total_Extract_CBD,0.614367816091954,0.790633608815427,0.6602760736196319,0.7195988299206018,0.3195084485407066,0.47706422018348627,0.3827046918123275
