treatment,accuracy_mean,accuracy_std,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment,n_significant_features_fdr,n_folds
ETANOL,0.6160456450861667,0.026205125091163853,0.6361679224973089,0.8590116279069767,0.7310625670859556,0.5245098039215687,0.24044943820224718,0.32547416457436185,0,10
CBD 0.3uM,0.5266587988460529,0.04310230855563819,0.601593625498008,0.438953488372093,0.5053410712163606,0.47554347826086957,0.6363636363636364,0.543746998339292,0,10
Total_Extract_CBD,0.5848484848484847,0.04895604370122277,0.7208413001912046,0.5479651162790697,0.6212713778554105,0.4619377162629758,0.6464891041162227,0.5376330566362145,0,10
