treatment,accuracy_mean,accuracy_std,precision_control,recall_control,f1_control,precision_treatment,recall_treatment,f1_treatment,window_length,n_folds
ETANOL,0.5016949152542373,0.06788130303220605,0.6432432432432432,0.34293948126801155,0.4412819375003115,0.43703703703703706,0.7283950617283951,0.5456717365601967,50,10
CBD 0.3uM,0.661369332421964,0.02400334118244062,0.2897959183673469,0.20461095100864554,0.23750351423425578,0.7453874538745388,0.8228105906313645,0.7818600573495519,50,10
CBD 3uM,0.7264580369843527,0.13144901508259216,0.9236111111111112,0.7665706051873199,0.8298607383669987,0.07954545454545454,0.2413793103448276,0.12898692810457515,50,10
CBD 30uM,0.5096341463414634,0.06296380554764965,0.8730964467005076,0.4956772334293948,0.6287671381077202,0.17061611374407584,0.5901639344262295,0.261147375987331,50,10
CBDV 0.3uM,0.4238372093023256,0.09506382224851617,0.7670454545454546,0.38904899135446686,0.4957567725400119,0.19391634980988592,0.5543478260869565,0.2687347412347412,50,10
CBDV 3uM,0.6914376321353066,0.06345788433001347,0.7983193277310925,0.8213256484149856,0.808085769034664,0.19480519480519481,0.1724137931034483,0.18144793399269105,50,10
CBDV 30uM,0.5433001107419712,0.058236906280159095,0.8518518518518519,0.5302593659942363,0.6503960671550446,0.22748815165876776,0.6,0.32795976391456877,50,10
,0.5618466898954704,0.10181507219907135,0.8223938223938224,0.6138328530259366,0.6939592621019555,0.11842105263157894,0.28125,0.155050022961868,50,10
